CodMun;Regiao;UF;Cod UF;Mun;Populacao;Faixa_pop
1502707;1 - Norte;PA;15;Conceição do Araguaia;47991;4 - 20001 até 50000
1502756;1 - Norte;PA;15;Concórdia do Pará;33781;4 - 20001 até 50000
1502764;1 - Norte;PA;15;Cumaru do Norte;13761;3 - 10001 até 20000
1502772;1 - Norte;PA;15;Curionópolis;17846;3 - 10001 até 20000
1502806;1 - Norte;PA;15;Curralinho;34994;4 - 20001 até 50000
1502855;1 - Norte;PA;15;Curuá;14587;3 - 10001 até 20000
1502905;1 - Norte;PA;15;Curuçá;40584;4 - 20001 até 50000
1502939;1 - Norte;PA;15;Dom Eliseu;60469;5 - 50001 até 100000
1502954;1 - Norte;PA;15;Eldorado do Carajás;33940;4 - 20001 até 50000
1503002;1 - Norte;PA;15;Faro;7070;2 - 5001 até 10000
1503044;1 - Norte;PA;15;Floresta do Araguaia;20525;4 - 20001 até 50000
1503077;1 - Norte;PA;15;Garrafão do Norte;26111;4 - 20001 até 50000
1503093;1 - Norte;PA;15;Goianésia do Pará;41081;4 - 20001 até 50000
1503101;1 - Norte;PA;15;Gurupá;33755;4 - 20001 até 50000
1503200;1 - Norte;PA;15;Igarapé-Açu;39023;4 - 20001 até 50000
1503309;1 - Norte;PA;15;Igarapé-Miri;63036;5 - 50001 até 100000
1503408;1 - Norte;PA;15;Inhangapi;11861;3 - 10001 até 20000
1503457;1 - Norte;PA;15;Ipixuna do Pará;65625;5 - 50001 até 100000
1503507;1 - Norte;PA;15;Irituia;32595;4 - 20001 até 50000
1503606;1 - Norte;PA;15;Itaituba;101395;6 - 100001 até 500000
1503705;1 - Norte;PA;15;Itupiranga;53355;5 - 50001 até 100000
1503754;1 - Norte;PA;15;Jacareacanga;7590;2 - 5001 até 10000
1503804;1 - Norte;PA;15;Jacundá;59842;5 - 50001 até 100000
1503903;1 - Norte;PA;15;Juruti;58960;5 - 50001 até 100000
1504000;1 - Norte;PA;15;Limoeiro do Ajuru;29282;4 - 20001 até 50000
1504059;1 - Norte;PA;15;Mãe do Rio;30235;4 - 20001 até 50000
1504109;1 - Norte;PA;15;Magalhães Barata;8573;2 - 5001 até 10000
1504208;1 - Norte;PA;15;Marabá;283542;6 - 100001 até 500000
1504307;1 - Norte;PA;15;Maracanã;29516;4 - 20001 até 50000
1504406;1 - Norte;PA;15;Marapanim;28450;4 - 20001 até 50000
1504422;1 - Norte;PA;15;Marituba;133685;6 - 100001 até 500000
1504455;1 - Norte;PA;15;Medicilândia;31975;4 - 20001 até 50000
1504505;1 - Norte;PA;15;Melgaço;27890;4 - 20001 até 50000
1504604;1 - Norte;PA;15;Mocajuba;31530;4 - 20001 até 50000
1504703;1 - Norte;PA;15;Moju;83182;5 - 50001 até 100000
1504752;1 - Norte;PA;15;Mojuí dos Campos;16184;3 - 10001 até 20000
1504802;1 - Norte;PA;15;Monte Alegre;58162;5 - 50001 até 100000
1504901;1 - Norte;PA;15;Muaná;40906;4 - 20001 até 50000
1504950;1 - Norte;PA;15;Nova Esperança do Piriá;21444;4 - 20001 até 50000
1504976;1 - Norte;PA;15;Nova Ipixuna;16854;3 - 10001 até 20000
1505007;1 - Norte;PA;15;Nova Timboteua;15506;3 - 10001 até 20000
1505031;1 - Norte;PA;15;Novo Progresso;25766;4 - 20001 até 50000
1505064;1 - Norte;PA;15;Novo Repartimento;77214;5 - 50001 até 100000
1505106;1 - Norte;PA;15;Óbidos;52306;5 - 50001 até 100000
1505205;1 - Norte;PA;15;Oeiras do Pará;32850;4 - 20001 até 50000
1505304;1 - Norte;PA;15;Oriximiná;74016;5 - 50001 até 100000
1505403;1 - Norte;PA;15;Ourém;17961;3 - 10001 até 20000
1505437;1 - Norte;PA;15;Ourilândia do Norte;33335;4 - 20001 até 50000
1505486;1 - Norte;PA;15;Pacajá;48414;4 - 20001 até 50000
1505494;1 - Norte;PA;15;Palestina do Pará;7582;2 - 5001 até 10000
1505502;1 - Norte;PA;15;Paragominas;114503;6 - 100001 até 500000
1505536;1 - Norte;PA;15;Parauapebas;213576;6 - 100001 até 500000
1505551;1 - Norte;PA;15;Pau DArco;5410;2 - 5001 até 10000
1505601;1 - Norte;PA;15;Peixe-Boi;8081;2 - 5001 até 10000
1505635;1 - Norte;PA;15;Piçarra;12979;3 - 10001 até 20000
1505650;1 - Norte;PA;15;Placas;31659;4 - 20001 até 50000
1505700;1 - Norte;PA;15;Ponta de Pedras;31549;4 - 20001 até 50000
