CodMun;REGIAO;COD UF;UF;NOME MUNIC;POP EST;CLASSE POP
1504901;1 - Norte;15;PA;Muaná;37314;4 - 20001 até 50000
1504950;1 - Norte;15;PA;Nova Esperança do Piriá;20596;4 - 20001 até 50000
1504976;1 - Norte;15;PA;Nova Ipixuna;15632;3 - 10001 até 20000
1505007;1 - Norte;15;PA;Nova Timboteua;14472;3 - 10001 até 20000
1505031;1 - Norte;15;PA;Novo Progresso;25169;4 - 20001 até 50000
1505064;1 - Norte;15;PA;Novo Repartimento;69267;5 - 50001 até 100000
1505106;1 - Norte;15;PA;Óbidos;50317;5 - 50001 até 100000
1505205;1 - Norte;15;PA;Oeiras do Pará;30490;4 - 20001 até 50000
1505304;1 - Norte;15;PA;Oriximiná;67939;5 - 50001 até 100000
1505403;1 - Norte;15;PA;Ourém;16986;3 - 10001 até 20000
1505437;1 - Norte;15;PA;Ourilândia do Norte;30171;4 - 20001 até 50000
1505486;1 - Norte;15;PA;Pacajá;43930;4 - 20001 até 50000
1505494;1 - Norte;15;PA;Palestina do Pará;7444;2 - 5001 até 10000
1505502;1 - Norte;15;PA;Paragominas;105417;6 - 100001 até 500000
1505536;1 - Norte;15;PA;Parauapebas;183352;6 - 100001 até 500000
1505551;1 - Norte;15;PA;Pau D'Arco;5637;2 - 5001 até 10000
1505601;1 - Norte;15;PA;Peixe-Boi;7881;2 - 5001 até 10000
1505635;1 - Norte;15;PA;Piçarra;12697;3 - 10001 até 20000
1505650;1 - Norte;15;PA;Placas;27700;4 - 20001 até 50000
1505700;1 - Norte;15;PA;Ponta de Pedras;28601;4 - 20001 até 50000
1505809;1 - Norte;15;PA;Portel;57205;5 - 50001 até 100000
1505908;1 - Norte;15;PA;Porto de Moz;37669;4 - 20001 até 50000
1506005;1 - Norte;15;PA;Prainha;29270;4 - 20001 até 50000
1506104;1 - Norte;15;PA;Primavera;10458;3 - 10001 até 20000
1506112;1 - Norte;15;PA;Quatipuru;12943;3 - 10001 até 20000
1506138;1 - Norte;15;PA;Redenção;79917;5 - 50001 até 100000
1506161;1 - Norte;15;PA;Rio Maria;17755;3 - 10001 até 20000
1506187;1 - Norte;15;PA;Rondon do Pará;49476;4 - 20001 até 50000
1506195;1 - Norte;15;PA;Rurópolis;45595;4 - 20001 até 50000
1506203;1 - Norte;15;PA;Salinópolis;38819;4 - 20001 até 50000
1506302;1 - Norte;15;PA;Salvaterra;21987;4 - 20001 até 50000
1506351;1 - Norte;15;PA;Santa Bárbara do Pará;19197;3 - 10001 até 20000
1506401;1 - Norte;15;PA;Santa Cruz do Arari;9191;2 - 5001 até 10000
1506500;1 - Norte;15;PA;Santa Izabel do Pará;65251;5 - 50001 até 100000
1506559;1 - Norte;15;PA;Santa Luzia do Pará;19418;3 - 10001 até 20000
1506583;1 - Norte;15;PA;Santa Maria das Barreiras;19437;3 - 10001 até 20000
1506609;1 - Norte;15;PA;Santa Maria do Pará;23790;4 - 20001 até 50000
1506708;1 - Norte;15;PA;Santana do Araguaia;65062;5 - 50001 até 100000
1506807;1 - Norte;15;PA;Santarém;290521;6 - 100001 até 500000
1506906;1 - Norte;15;PA;Santarém Novo;6390;2 - 5001 até 10000
1507003;1 - Norte;15;PA;Santo Antônio do Tauá;29110;4 - 20001 até 50000
1507102;1 - Norte;15;PA;São Caetano de Odivelas;17344;3 - 10001 até 20000
1507151;1 - Norte;15;PA;São Domingos do Araguaia;24235;4 - 20001 até 50000
1507201;1 - Norte;15;PA;São Domingos do Capim;30701;4 - 20001 até 50000
