Ano;UF;CODMUN;MUNICIPIO;CODMUN_IBGE
202012;BA;42587;LAPAO;2919157
202012;BA;19204;LAURO DE FREITAS;2919207
202012;BA;19204;LAURO DE FREITAS;2919207
202012;BA;11642;LENCOIS;2919306
202012;BA;2998;LICINIO DE ALMEIDA;2919405
202012;BA;38773;LIVRAMENTO DE NOSSA SENHORA;2919504
202012;BA;57998;LUIS EDUARDO MAGALHAES;2919553
202012;BA;57998;LUIS EDUARDO MAGALHAES;2919553
202012;BA;15095;MACARANI;2919702
202012;BA;5328;MACAUBAS;2919801
202012;BA;46112;MADRE DE DEUS;2919926
202012;BA;23719;MARACAS;2920502
202012;BA;14962;MARAGOGIPE;2920601
202012;BA;19259;MATA DE SAO JOAO;2921005
202012;BA;15992;MEDEIROS NETO;2921104
202012;BA;3014;MIGUEL CALMON;2921203
202012;BA;21773;MONTE SANTO;2921500
202012;BA;39789;MORRO DO CHAPEU;2921708
202012;BA;30647;MORTUGABA;2921807
202012;BA;27193;MUCUGE;2921906
202012;BA;13963;MUCURI;2922003
202012;BA;4769;MUNDO NOVO;2922102
202012;BA;31660;MURITIBA;2922300
202012;BA;18384;MUTUIPE;2922409
202012;BA;5304;NAZARE;2922508
202012;BA;35147;NOVA CANAA;2922706
202012;BA;12892;NOVA SOURE;2922904
202012;BA;3818;NOVA VICOSA;2923001
202012;BA;25566;OLIVEIRA DOS BREJINHOS;2923209
202012;BA;28329;PARAMIRIM;2923605
202012;BA;19493;PARATINGA;2923704
202012;BA;10674;PARIPIRANGA;2923803
202012;BA;32858;PAULO AFONSO;2924009
202012;BA;32858;PAULO AFONSO;2924009
202012;BA;38821;PILAO ARCADO;2924405
202012;BA;20949;PINDOBACU;2924603
202012;BA;3069;PIRITIBA;2924801
202012;BA;25573;PLANALTO;2925006
202012;BA;21821;POCOES;2925105
202012;BA;6286;POJUCA;2925204
202012;BA;39796;PORTO SEGURO;2925303
202012;BA;39796;PORTO SEGURO;2925303
202012;BA;26785;PRADO;2925501
202012;BA;13372;PRESIDENTE DUTRA;2925600
202012;BA;36304;QUEIMADAS;2925808
202012;BA;16025;REMANSO;2926004
202012;BA;38814;RIACHAO DAS NEVES;2926202
202012;BA;34344;RIACHAO DO JACUIPE;2926301
202012;BA;20932;RIACHO DE SANTANA;2926400
202012;BA;3045;RIBEIRA DO POMBAL;2926608
202012;BA;38807;RIO DE CONTAS;2926707
202012;BA;25281;RIO DO ANTONIO;2926806
202012;BA;5933;RIO REAL;2927002
202012;BA;31677;RUY BARBOSA;2927200
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
